batter,ERA_range,pitch_type_CH,pitch_type_CU,pitch_type_EP,pitch_type_FC,pitch_type_FF,pitch_type_FS,pitch_type_FT,pitch_type_IN,pitch_type_KC,pitch_type_KN,pitch_type_PO,pitch_type_RB,pitch_type_SC,pitch_type_SI,pitch_type_SL,pitch_type_UN,pitch_type_Unknown,velocity_Slow,velocity_Medium,velocity_Fast,velocity_Very Fast,ERA_Excellent,ERA_Good,ERA_Average,ERA_Poor,ERA_Very Poor
abbotco01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
abramcj01,212,19,70,6,19,0,0,0,35,0,4,0,26,25,3,0,0,32,89,80,31,2,31,23,13,40,105
abreujo02,485,39,139,4,25,0,1,1,97,0,18,0,25,103,10,0,4,44,213,166,68,5,40,52,24,102,267
abreuwi02,26,1,6,0,0,0,0,1,7,0,1,0,4,0,1,0,1,8,9,11,5,0,3,2,1,4,16
acunaro01,432,33,115,6,26,0,2,1,103,0,12,0,14,89,9,0,1,40,188,137,79,2,41,31,23,77,260
adamewi01,401,28,132,4,21,0,0,0,93,0,9,0,27,69,4,0,0,44,162,168,52,1,34,34,30,81,222
adamsjo03,9,2,3,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,4,3,1,0,1,1,0,4,3
adamsma01,9,1,6,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,3,4,2,0,2,2,2,1,2
adamsri03,96,3,32,0,8,0,0,0,29,0,0,0,2,13,1,0,0,10,32,41,18,0,10,5,10,20,51
adelljo01,109,4,37,1,11,0,0,0,25,0,4,0,18,18,2,0,0,7,40,46,13,1,12,9,7,21,60
adriaeh01,66,6,23,1,2,0,0,2,12,0,0,0,16,9,2,0,0,9,30,22,9,2,10,7,4,12,33
aguilje01,263,17,84,1,11,0,0,0,61,0,3,0,5,54,4,0,0,29,111,98,45,2,22,19,22,53,147
aguilry01,4,0,1,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,3,1
ahmedni01,159,8,55,1,10,0,0,0,32,0,6,0,4,31,5,0,0,13,75,59,16,1,20,22,13,36,68
akiyash01,33,1,15,1,4,0,0,0,1,0,2,0,4,4,1,0,0,4,12,11,4,0,5,4,4,5,15
alberha01,125,10,43,0,10,0,0,1,24,0,1,0,17,22,0,0,0,14,60,44,11,0,14,14,8,36,53
albieoz01,420,28,139,7,24,0,0,3,47,1,3,0,31,73,19,0,2,75,198,122,67,1,53,37,35,96,199
alcansa01,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
alcanse01,94,4,35,1,6,0,1,1,15,0,2,0,1,13,1,0,1,14,37,32,15,1,14,7,11,24,38
alexabl01,4,0,4,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,1,2,1,0,1,0,1,0,2
alfarjo01,146,10,33,2,12,0,1,0,31,0,4,0,15,38,3,0,0,13,75,41,16,0,14,15,7,31,79
alforan01,34,1,11,0,2,0,0,0,12,0,0,0,3,6,0,0,0,2,15,15,3,0,8,2,4,5,15
allenau01,6,1,3,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,2,1,1,0,2,1,0,0,3
allengr01,48,14,18,0,1,0,0,0,7,0,0,0,2,2,0,0,0,6,19,17,11,0,11,5,6,11,15
allenni02,132,10,45,0,11,0,0,0,32,0,5,0,16,20,3,1,0,7,55,53,17,1,22,28,14,23,45
almonab01,43,4,17,1,0,0,0,0,11,0,0,0,1,4,0,0,0,6,10,20,10,1,7,3,5,13,15
almoral01,58,6,17,1,1,0,0,1,17,0,0,0,5,9,1,0,0,6,22,25,8,0,10,6,8,9,25
alonspe01,465,31,119,4,23,0,1,1,138,0,17,0,4,75,14,0,1,42,175,168,91,1,29,38,34,74,290
altuvjo01,484,28,163,3,27,0,0,2,92,0,19,0,17,89,10,0,0,51,194,172,84,1,77,59,41,91,216
aluja01,36,4,11,0,1,0,0,0,7,0,0,0,1,6,1,0,0,6,17,7,11,0,6,2,0,11,17
alvared01,22,0,8,0,1,0,0,0,5,0,0,0,10,3,1,0,0,4,9,8,4,0,1,2,3,6,10
alvarfr01,91,5,27,3,7,0,1,0,18,1,3,0,0,20,0,0,0,6,38,32,13,0,9,10,5,11,56
alvaryo01,469,36,150,10,35,0,2,2,74,0,19,0,7,77,7,2,0,55,195,155,66,5,41,32,25,71,300
alzolad01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0
amayaja01,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
amayami01,30,4,10,0,0,0,0,1,4,0,2,0,6,5,0,0,0,4,14,9,4,0,2,0,3,7,18
anderbr04,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderbr06,210,20,66,1,14,0,0,0,39,0,9,0,9,39,5,0,1,16,92,77,27,0,24,19,13,45,109
anderia01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0
anderti01,394,25,105,5,25,0,1,0,96,0,16,0,35,80,9,0,1,34,167,151,42,1,50,39,37,74,194
anderty01,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,3
andrejo03,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,1,1
andruel01,348,22,112,4,17,0,0,2,64,0,21,0,19,71,4,0,1,30,151,131,36,2,38,43,32,75,160
andujmi01,101,12,32,0,7,0,0,1,13,0,4,0,4,18,1,0,0,13,50,26,16,0,10,11,6,18,56
apostsh01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aquinar01,85,2,32,0,7,0,0,0,23,0,1,0,12,10,2,0,0,8,25,39,13,1,10,8,6,12,49
arandjo01,38,2,7,2,4,0,0,0,5,0,1,0,3,7,2,0,1,7,22,9,4,0,5,7,7,5,14
arauzjo01,28,1,10,1,1,0,0,0,3,0,1,0,10,6,0,0,0,5,15,7,5,0,3,3,2,9,11
arciafr01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arciaor01,213,17,59,3,15,0,0,0,48,0,9,0,20,40,7,0,0,16,91,69,36,0,23,28,13,53,96
arenano01,479,32,132,9,35,0,0,0,86,0,17,0,4,110,11,0,3,47,233,140,73,2,38,47,41,98,255
ariasga01,84,13,17,1,7,0,1,0,17,0,6,0,16,15,1,0,1,5,47,19,14,0,9,8,5,15,47
arozara01,458,43,125,7,28,0,0,2,89,0,23,0,14,75,12,0,2,55,194,163,57,3,71,54,38,76,219
arraelu01,523,49,209,12,28,0,0,1,87,1,2,0,12,65,6,0,0,64,218,198,91,0,49,40,49,137,248
arrieja01,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1
arroych01,181,15,51,2,9,0,1,2,32,0,7,0,21,33,2,0,0,27,86,57,23,0,24,20,12,44,81
astudwi01,69,3,17,2,5,0,0,0,14,0,2,0,6,15,1,0,0,11,33,21,9,0,3,7,5,19,35
aveliab01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avilaal01,17,1,9,0,0,0,0,0,4,0,0,0,3,2,0,0,0,1,4,11,2,0,0,1,2,8,6
azocajo01,77,5,12,2,7,0,1,1,14,0,0,0,12,15,5,0,0,15,44,20,2,0,11,7,8,16,35
baddoak01,234,15,95,9,16,0,0,0,26,0,6,0,3,27,3,0,1,38,110,85,28,1,37,31,19,41,106
baderha01,269,18,70,2,13,0,2,0,66,0,11,0,3,54,7,0,1,25,113,89,44,0,37,27,20,59,126
baeji01,95,11,36,1,5,0,0,1,14,0,4,0,2,13,0,0,0,10,38,35,10,2,20,18,9,13,35
baezja01,392,32,86,6,30,0,0,0,56,0,11,0,3,117,10,0,2,45,225,102,38,0,53,35,25,63,216
bailepa01,80,6,28,2,6,0,1,0,10,0,1,0,5,9,4,0,0,13,35,22,16,0,6,7,2,12,53
bakerlu01,24,3,6,0,2,0,0,0,5,0,4,0,3,0,0,0,0,4,9,7,4,0,1,2,4,2,15
bandyje01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bannory01,6,0,2,0,0,0,0,0,0,0,0,0,7,2,0,0,0,2,4,1,1,0,1,0,0,2,3
