"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Greinke, Zack","425844","2023","593",16.4,3.9,".332",".344",32.6,7.7,38.8,"79.099913176","94.182767312",17.3,46.8
"Verlander, Justin","434378","2023","669",21.5,6.7,".284",".295",30.5,8.2,41.3,"79.990406017","94.269512972",22.5,49.6
"Hill, Rich","448179","2023","660",19.5,8.8,".359",".360",37.3,10.1,39.9,"78.850617598","94.135267838",19.3,45.4
"Morton, Charlie","450203","2023","716",25.6,11.6,".318",".330",36.8,7.8,39.1,"77.30793493","94.400073953",32.2,42.9
"Scherzer, Max","453286","2023","621",28,7.2,".298",".281",32.2,8.5,36.9,"77.751416869","93.790833646",28.6,51
"Lynn, Lance","458681","2023","808",23.6,8.3,".347",".337",35.2,10.4,39.3,"77.065476868","94.313936189",28.7,50.1
"Kershaw, Clayton","477132","2023","523",26.2,7.6,".280",".300",34.7,9,39.1,"77.970437953","94.209900469",28,49.6
"Gibson, Kyle","502043","2023","807",19.5,6.8,".326",".335",33.4,7.6,44.5,"78.377673356","94.787380789",25.3,45.6
"Cobb, Alex","502171","2023","646",20.3,5.7,".325",".333",33.1,7,43.4,"78.162474979","94.959257569",21.7,44.9
"Darvish, Yu","506433","2023","573",24.6,7.3,".321",".302",33,6.8,38.2,"77.260033579","93.949118786",25,46.4
"Kelly, Merrill","518876","2023","721",25.9,9.4,".294",".313",35.1,7.8,41.8,"78.631396856","94.559456681",27,49.1
"Pérez, Martín","527048","2023","608",15.3,8.1,".335",".338",33.1,7.6,37.2,"78.339075442","93.950532389",17.2,45.3
"Anderson, Tyler","542881","2023","629",18.9,10.2,".345",".340",37.6,8.2,32.3,"75.818054326","93.084649767",27.8,49.7
"Cole, Gerrit","543037","2023","821",27,5.8,".256",".289",33.7,7.6,39.2,"78.703162612","93.996080634",26,50.1
"Eovaldi, Nathan","543135","2023","577",22.9,8.1,".296",".308",30.1,7.9,43.1,"77.314907795","94.415751825",26.3,47.8
"Gray, Sonny","543243","2023","754",24.3,7.3,".270",".296",32.9,6.9,39.2,"78.435195138","94.126464752",26,47.7
"Hendricks, Kyle","543294","2023","578",16.1,4.7,".296",".313",33.7,6.2,31.5,"72.3316","93.059797773",21.1,46.7
"Lyles, Jordan","543475","2023","748",16,6,".340",".340",34.6,9.9,35.5,"78.646858035","93.749665333",20.1,48.1
"Lorenzen, Michael","547179","2023","624",17.8,7.5,".304",".327",33.9,8,40.2,"80.116257074","94.295669956",21.6,49.4
"Wheeler, Zack","554430","2023","787",26.9,5,".277",".277",35.1,5.1,36.4,"75.393585916","93.267420573",28.6,51.3
"Corbin, Patrick","571578","2023","790",15.7,7.2,".353",".373",37.9,9.3,44,"80.192000808","94.927415572",21.2,45.7
"Heaney, Andrew","571760","2023","641",23.6,9.4,".335",".327",31.4,10.2,38.6,"80.118188846","94.263143438",26.4,48.2
"Mikolas, Miles","571945","2023","860",15.9,4.5,".330",".354",38.9,9.8,43,"80.242845536","94.593177009",16.7,49.7
"Stroman, Marcus","573186","2023","575",20.7,9,".285",".318",30.7,5,41.4,"79.8502842","94.625671429",22.3,45.1
"Kikuchi, Yusei","579328","2023","700",25.9,6.9,".319",".319",37.7,9,42.4,"80.862697662","94.432324264",28,48.7
"Gausman, Kevin","592332","2023","763",31.1,7.2,".292",".303",36.9,9.9,43.3,"77.897586061","94.803198308",28.9,49.3
"Gray, Jon","592351","2023","656",21.6,8.2,".317",".325",35.5,6.4,39.5,"78.991165586","94.126791486",26.3,50.8
"Smyly, Drew","592767","2023","626",22.5,8.9,".348",".313",35.9,7.3,33.6,"76.258119279","93.493708582",27.1,46.6
"Taillon, Jameson","592791","2023","655",21.4,6.3,".322",".332",36.2,10.7,38.4,"76.828018498","94.064186052",22,49.1
"Walker, Taijuan","592836","2023","733",18.8,9.7,".313",".322",33.1,6.8,40.9,"77.901900078","94.417705363",20.5,44.1
"Williams, Trevor","592866","2023","658",16.9,7.9,".377",".360",36.9,10.2,38.6,"77.005416033","93.997254483",19,47.1
"Rodriguez, Eduardo","593958","2023","621",23,7.7,".284",".310",31.4,7.5,38.5,"76.990684623","94.247869548",23.8,47.8
"Weaver, Luke","596133","2023","563",19.4,7.1,".385",".357",40.2,9.8,42,"78.04239848","94.508679902",21.6,47.3
"Gomber, Austin","596295","2023","603",14.4,7.1,".368",".362",31.3,8.9,44.3,"79.777446652","94.9510922",19,47.5
"Pivetta, Nick","601713","2023","587",31.2,8.5,".296",".308",40.1,11.8,43.8,"80.327621156","94.780976127",29.6,48.9
"Bassitt, Chris","605135","2023","826",22.5,7.1,".304",".310",36,8.3,35.3,"75.819874626","93.662809412",21.9,47.3
"Clevinger, Mike","605182","2023","549",20,7.3,".312",".312",34.9,7.2,35.9,"77.254600722","93.563543824",23.2,49.1
"Nola, Aaron","605400","2023","793",25.5,5.7,".303",".298",36.3,8.3,38.5,"78.53543572","94.143390037",26,49.3
"Snell, Blake","605483","2023","742",31.5,13.3,".266",".300",37,7.4,33.8,"75.667264472","93.364914171",37.3,42.9
"Rea, Colin","607067","2023","517",21.3,7.4,".313",".323",34.5,7.7,43.3,"79.914554222","94.82878625",24,47.9
"Freeland, Kyle","607536","2023","677",13.9,6.2,".360",".361",35,8.7,43.5,"79.780080451","94.648559793",17.1,51
"Lugo, Seth","607625","2023","604",23.2,6,".306",".323",34.6,9.6,44.2,"80.522905755","94.837821229",21.8,46.3
"Giolito, Lucas","608337","2023","794",25.7,9.2,".339",".329",33.3,11,41.6,"77.97955087","94.420691621",28.8,46.8
"Wacha, Michael","608379","2023","553",22.4,7.8,".291",".318",38.6,7.3,35.5,"77.384295812","93.517212696",24.6,47.9
"Eflin, Zach","621107","2023","703",26.5,3.4,".276",".270",29.2,9,35.1,"75.557414813","93.73501605",24,49.9
"Berríos, José","621244","2023","782",23.5,6.6,".302",".326",39.1,8.6,35.8,"77.334530262","93.583561201",25.4,46.5
"Castillo, Luis","622491","2023","802",27.3,7,".289",".302",31,9.4,41.8,"78.960209073","94.709603649",30.6,52.1
"Suárez, Ranger","624133","2023","540",22,8.9,".325",".321",35.3,7.5,36.1,"76.421901685","93.62207436",23,45
"López, Pablo","641154","2023","801",29.2,6,".294",".269",32.4,6.3,34.8,"75.934517778","93.235848194",30.3,51.7
"Dunning, Dane","641540","2023","722",19.4,7.6,".310",".325",32.5,7.5,40.2,"77.759256899","94.06919",22.2,47
"France, J.P.","641585","2023","581",17.4,8.1,".319",".337",33.9,8.1,38.7,"79.324354233","94.108334569",21.9,44.9
"Ober, Bailey","641927","2023","577",25.3,5,".294",".295",33.4,9.6,35.7,"77.740159286","93.490782916",28.7,53.1
"Peralta, Freddy","642547","2023","680",30.9,7.9,".291",".284",32.3,8.6,37.7,"75.952795517","93.704981926",33.6,47.8
"Alcantara, Sandy","645261","2023","762",19.8,6.3,".301",".320",31.4,7,40.6,"77.348736884","94.275894674",25.2,54.2
"Civale, Aaron","650644","2023","504",23,6.5,".288",".297",33.5,6.6,36.4,"78.321917907","94.02557481",22.7,46.9
"Canning, Griffin","656288","2023","536",25.9,6.7,".315",".309",31.5,9.8,44.2,"81.182281765","94.781038053",29.1,48.4
"Cease, Dylan","656302","2023","784",27.3,10.1,".321",".313",36.8,6.2,41.6,"79.788605816","94.355014456",31,46.3
"Flaherty, Jack","656427","2023","650",22.8,10.2,".356",".343",38.5,7.3,38.3,"76.595665118","93.759440071",26.6,44
"Keller, Mitch","656605","2023","825",25.5,6.7,".310",".315",36.5,8.6,35.6,"75.953749524","93.735176239",23.2,47.8
"Kopech, Michael","656629","2023","591",22.7,15.4,".363",".363",31.6,12.7,42.4,"79.995233636","94.720039517",26.9,42.1
"Megill, Tylor","656731","2023","567",18.5,10.2,".350",".365",37,9.1,42.6,"78.869756548","94.663499746",23.3,44.9
"Montgomery, Jordan","656756","2023","777",21.4,6.2,".298",".308",36.3,7.5,37.9,"77.154947138","93.903178297",25.9,47.6
"Steele, Justin","657006","2023","716",24.6,5,".291",".290",33.4,5.4,36.6,"76.614522327","93.56474102",23.8,52.9
"Webb, Logan","657277","2023","850",22.8,3.6,".283",".295",28.4,6.9,46,"79.69594423","95.252167361",20.7,47.4
"Schmidt, Clarke","657376","2023","694",21.5,6.6,".334",".320",31.1,7.6,41,"77.79197595","94.39970499",22.6,47.1
"Ryan, Joe","657746","2023","672",29.3,5.1,".316",".291",34,8.7,41.6,"79.798987488","94.412337442",26.8,55.1
"Ohtani, Shohei","660271","2023","531",31.5,10.4,".277",".302",34,10.1,35,"73.9743325","93.442735912",30.8,46.7
"Irvin, Jake","663623","2023","530",18.7,10.2,".335",".345",33.1,10.3,39.6,"80.193214837","94.671824251",17.8,43.7
"Sandoval, Patrick","663776","2023","652",19.6,11.3,".318",".333",38,7,35.1,"76.334476941","93.456079153",27.7,46.6
"Singer, Brady","663903","2023","702",18.9,7,".346",".340",34.8,7.8,48.6,"80.379261107","95.275444743",22.7,45.6
"Valdez, Framber","664285","2023","808",24.8,7.1,".287",".320",30.9,8,45.6,"81.844590865","95.101299868",26.7,47.2
"Javier, Cristian","664299","2023","687",23.1,9,".317",".323",38.1,9.4,38.3,"78.877175219","93.876231451",27.1,48
"Kremer, Dean","665152","2023","735",21.4,7.5,".317",".339",36.9,8.9,40.3,"79.052297752","94.393783895",24,47.7
"Garrett, Braxton","666129","2023","659",23.7,4.4,".307",".328",32.2,7.8,45.1,"78.937398913","95.013758957",25.3,47.2
