"last_name, first_name","player_id","year","pa","home_run","k_percent","bb_percent","p_era","woba","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","whiff_percent","swing_percent","n_fastball_formatted","fastball_avg_speed","n_breaking_formatted","breaking_avg_speed","n_offspeed_formatted","offspeed_avg_speed"
"Wainwright, Adam","425794","2021","828","21",21,6,"3.05",".273","88.2",34.3,6.2,35.6,19.7,43.8,"59.7","87.5","33.8","73.5","6.4","82.7"
"Greinke, Zack","425844","2021","697","30",17.2,5.2,"4.16",".309","88.3",35.3,6.5,35.4,21.8,46,"45.9","89","31.7","77.1","22.4","86.4"
"Hill, Rich","448179","2021","661","21",22.7,8.3,"3.86",".313","88.3",37,8.9,34.8,23.1,46.1,"52.4","87.7","44.6","71.4","3","80.9"
"Morton, Charlie","450203","2021","756","16",28.6,7.7,"3.34",".264","88.1",29.9,4.9,32.5,28.9,46,"58","94.1","36.7","80.6","5.3","86.4"
"Lester, Jon","452657","2021","627","25",14.5,8.8,"4.71",".352","88.3",33.5,7.7,37.2,20,46.4,"73.4","87.6","8.4","72.6","18.2","81.3"
"Scherzer, Max","453286","2021","693","23",34.1,5.2,"2.46",".248","87.9",33.6,8,34.3,34.1,50.6,"56","93.6","29","82.8","14.9","85"
"Happ, J.A.","457918","2021","671","30",18.2,7.2,"5.79",".361","90.2",38.4,11.6,41.8,19.3,47.9,"71.5","90.5","16.4","82.5","12.1","86.1"
"Lynn, Lance","458681","2021","641","18",27.5,7,"2.69",".264","87.7",31.7,5.8,36,26.3,50.2,"92.3","91.9","3","82.1","4.6","87.2"
"Miley, Wade","489119","2021","690","17",18.1,7.2,"3.37",".317","85.7",31.8,6.1,34.2,23.7,47.5,"64","86.6","8.8","77.4","27.3","81.9"
"Minor, Mike","501985","2021","669","26",22.3,6.1,"5.05",".321","88.5",35,9.3,35.9,24.3,48.7,"42.8","90.9","37.5","83.4","19.6","85.2"
"Gibson, Kyle","502043","2021","754","17",20.6,8.5,"3.71",".293","88.8",30.6,4.9,39.1,24.9,44.8,"61.6","91.7","25.1","82","13.3","84.8"
"Darvish, Yu","506433","2021","681","28",29.2,6.5,"4.22",".301","88.2",35.1,8.8,34.9,27.3,47.6,"32.9","94.1","62.2","83.1","4.9","88.8"
