"last_name, first_name","player_id","year","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","oz_swing_percent","whiff_percent","swing_percent"
"Martinez, Victor","400121","2018","508","9","49",9.6,6.3,".251",".353",".297",".281",".313",35.1,4.7,30.6,"96.557884057","92.300796265",32,14.3,49.2
"Mauer, Joe","408045","2018","543","6","86",15.8,9.4,".282",".379",".351",".319",".354",36.9,5,44.3,"99.892945918","94.507836292",19.3,15.1,35.3
"Choo, Shin-Soo","425783","2018","665","21","156",23.5,13.8,".264",".434",".377",".355",".362",35.9,11.1,40.5,"99.924696535","94.11825245",22,26.8,40.9
"Molina, Yadier","425877","2018","503","20","66",13.1,5.8,".261",".436",".314",".323",".329",37.6,5.5,33.8,"97.338858241","92.806835201",35.3,17.2,52.7
"Encarnación, Edwin","429665","2018","578","32","132",22.8,10.9,".246",".474",".336",".346",".356",34.1,11.2,41.4,"100.766551311","94.616548279",24.6,26.3,44.6
"Jones, Adam","430945","2018","613","15","93",15.2,3.9,".281",".419",".313",".315",".311",35.6,4.9,33.1,"98.02876214","93.087198701",39.5,23.7,55.1
"Kinsler, Ian","435079","2018","534","14","64",12,7.5,".240",".380",".301",".298",".301",36.6,3.1,26.2,"95.239510751","91.635867224",24.4,12.2,45.5
"Desmond, Ian","435622","2018","619","22","146",23.6,8.6,".236",".422",".307",".315",".303",28.5,7,43.2,"100.744285942","94.630591501",27.2,28.8,48.3
"Cruz Jr., Nelson","443558","2018","591","37","122",20.6,9.3,".256",".509",".342",".361",".396",31.3,13.8,51.7,"105.6614156","97.439653125",28.4,30.6,46.5
"Peralta, David","444482","2018","614","30","124",20.2,7.8,".293",".516",".352",".368",".350",32.9,7.8,46.3,"102.631180594","95.674140388",28.5,23.7,48
"Escobar, Alcides","444876","2018","531","4","74",13.9,5.5,".231",".313",".279",".261",".274",30.3,2.1,21.5,"94.38942201","91.220654436",32.5,20.1,52.4
