"last_name, first_name","player_id","year","pa","home_run","strikeout","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","oz_swing_percent","whiff_percent","swing_percent"
"Colon, Bartolo","112526","2018","628","32","81",12.9,4,".291",".547",".319",".362",".363",37.2,7.5,40.8,"78.990581081","94.305538687",29.9,12.5,46.2
"Sabathia, CC","282332","2018","665","19","140",21.1,7.7,".250",".397",".319",".313",".289",32.2,5.2,26.6,"73.359951878","92.250301965",31.4,24.7,47.9
"Greinke, Zack","425844","2018","839","28","199",23.7,5.1,".231",".390",".275",".286",".303",35.4,6.4,33.5,"77.487911633","93.216715877",31.6,25.9,45.3
"Hamels, Cole","430935","2018","805","29","188",23.4,8.1,".246",".422",".324",".325",".332",34.4,7.5,35.9,"77.926503042","93.724410552",29.3,26.9,47.8
"Hernandez, Felix","433587","2018","684","27","125",18.3,8.6,".262",".460",".338",".344",".352",34,8.4,38.5,"79.751502678","94.188946987",27.1,19.6,45
"Verlander, Justin","434378","2018","833","28","290",34.8,4.4,".200",".360",".242",".259",".237",31.1,6.2,32.7,"78.75990849","93.215622592",31.1,31.6,51.2
"Liriano, Francisco","434538","2018","586","19","110",18.8,12.5,".252",".421",".350",".337",".355",34.4,7.5,32.2,"77.444724082","93.267754834",25.9,25.2,42.1
"Hammel, Jason","434628","2018","582","18","92",15.8,6.7,".315",".505",".362",".368",".366",36.8,8.3,39.5,"79.116028597","94.115768912",30.9,20.6,49.1
"Sánchez, Aníbal","434671","2018","553","15","135",24.4,7.6,".213",".354",".278",".277",".275",27.2,5.1,26.3,"73.59857095","92.227648992",29.3,24.7,46.5
"Kluber, Corey","446372","2018","842","25","222",26.4,4,".223",".367",".257",".270",".277",32.1,6.3,34.5,"77.474814353","93.263122919",33.6,26.9,48.2
"Hill, Rich","448179","2018","547","20","150",27.4,7.5,".219",".400",".289",".297",".304",33,7.8,36.2,"78.503322647","93.652919263",25.9,24.6,47.1
"Shields, James","448306","2018","871","34","154",17.7,9,".245",".435",".319",".326",".350",35.9,8.3,35.6,"78.170011093","93.584878939",26.8,24.3,45.4
"Guerra, Junior","448855","2018","610","19","136",22.3,9,".264",".434",".334",".333",".313",32.3,6.7,38.8,"78.103361527","94.105870936",26,24.5,47.3
"Morton, Charlie","450203","2018","695","18","201",28.9,9.2,".213",".356",".303",".293",".284",32,5.8,31,"76.951516373","93.08194473",24.9,28.5,44.8
"Lester, Jon","452657","2018","761","24","149",19.6,8.4,".256",".410",".324",".319",".342",38.9,6.6,35.4,"78.516620951","93.495959886",22.7,20.3,44.3
"Kennedy, Ian","453178","2018","518","20","105",20.3,7.7,".265",".456",".323",".334",".342",39.2,8.9,37.1,"79.256158785","93.946026934",27.1,19.1,47.1
"LeBlanc, Wade","453281","2018","662","24","130",19.6,6,".246",".419",".293",".306",".317",36.2,9,34.6,"76.268529752","93.257556715",30.1,21.7,46.2
"Scherzer, Max","453286","2018","866","23","300",34.6,5.9,".188",".332",".247",".252",".248",33.8,6.6,31.7,"75.860880685","92.647810141",32.3,33,52.4
"Richard, Clayton","453385","2018","682","19","108",15.8,8.8,".263",".432",".338",".334",".349",28.8,6.2,40.5,"80.531561296","94.604080507",25.1,19,46.3
"Arrieta, Jake","453562","2018","722","21","138",19.1,7.9,".254",".407",".318",".315",".312",32.9,5.6,31.7,"77.758042023","92.933534786",28.2,19.1,46.1
"Price, David","456034","2018","722","25","177",24.5,6.9,".230",".399",".293",".300",".313",33.2,7,35.7,"78.004062241","93.851433472",28.3,22.8,47.5
"Happ, J.A.","457918","2018","732","27","193",26.4,7,".225",".389",".288",".295",".302",30.9,8.8,34,"77.746689496","93.580311996",28.5,24.1,47.8
"Lynn, Lance","458681","2018","700","14","161",23,10.9,".265",".394",".350",".327",".310",30.4,4.2,37.1,"76.011148333","93.581628879",26.3,23.4,46.6
"Gonzalez, Gio","461829","2018","746","17","148",19.8,10.7,".256",".399",".335",".320",".329",35.1,5.8,34.5,"76.94446063","93.321813688",25.4,23.8,43.2
"Estrada, Marco","462136","2018","627","29","103",16.4,8,".274",".521",".331",".360",".332",37.6,9.3,33.3,"77.053938069","92.948710987",26.3,23.2,48.6
"Nova, Iván","467100","2018","683","26","114",16.7,5.1,".268",".459",".309",".327",".332",33.2,7.9,38.7,"80.035492471","94.077225463",29.7,19.6,48.9
"Chacín, Jhoulys","468504","2018","796","18","156",19.6,8.9,".220",".357",".298",".287",".320",32.8,6.5,37.8,"78.050611481","93.927760278",24.2,21.2,43.4
"Carrasco, Carlos","471911","2018","784","21","231",29.5,5.5,".238",".384",".285",".288",".283",32.9,6,39.1,"79.706658008","94.074574751",33.8,33,49.7
"Ross, Tyson","475115","2018","634","17","122",19.2,9.8,".237",".394",".319",".309",".324",36.8,6.1,35.2,"78.26739968","93.252466142",26.7,21.3,42.9
"Kershaw, Clayton","477132","2018","649","17","155",23.9,4.5,".227",".366",".264",".272",".282",29.9,5.4,35.4,"77.208474626","93.432404857",28.9,22.7,51.6
"Cashner, Andrew","488768","2018","681","25","99",14.5,9.5,".291",".496",".360",".366",".358",36.4,7.2,35.8,"79.270260472","93.70698626",23.2,17.2,43.6
"Quintana, Jose","500779","2018","739","25","158",21.4,9.2,".246",".418",".319",".319",".321",33.7,6.1,37.6,"79.719928826","93.737849168",25.1,20.6,42.8
"Minor, Mike","501985","2018","640","25","132",20.6,5.9,".235",".445",".288",".312",".319",35.5,10.8,35.3,"77.29015187","93.470661678",29.7,22.3,48.9
"Archer, Chris","502042","2018","638","19","162",25.4,7.7,".268",".437",".330",".330",".317",33.7,6.4,38.7,"79.730301531","93.947308897",30.1,28.6,48.5
"Gibson, Kyle","502043","2018","826","23","179",21.7,9.6,".241",".385",".316",".306",".319",30.9,5.7,36.4,"76.675027942","93.491631935",29.9,26.7,45.2
"Cobb, Alex","502171","2018","661","24","102",15.4,6.5,".284",".482",".332",".345",".338",33.4,7.8,40.6,"78.184592174","94.031287624",29.1,17.6,45.7
"Leake, Mike","502190","2018","783","23","119",15.2,4.3,".280",".447",".316",".326",".348",35.4,6.7,39.6,"79.210878553","94.224811479",30.2,16.7,49.7
"Anderson, Chase","502624","2018","644","30","128",19.9,8.9,".228",".426",".305",".317",".330",34.5,8.8,30.8,"76.343084091","93.040743818",27.4,21.8,47.2
"Holland, Derek","502706","2018","727","19","169",23.2,9.2,".241",".405",".313",".309",".312",34.1,6.6,35.4,"77.555262532","93.635942743",27.5,23.8,47
"Bettis, Chad","518452","2018","518","18","80",15.4,9.1,".265",".454",".337",".339",".343",30.1,7.3,38.6,"77.266078413","94.106074775",22.3,21.1,43.7
"Bumgarner, Madison","518516","2018","551","14","109",19.8,7.8,".238",".390",".304",".300",".321",34.3,8.4,35.5,"77.660434615","93.650850257",26.5,21.4,46.8
"Duffy, Danny","518633","2018","692","23","141",20.4,10.1,".264",".426",".341",".333",".346",36.7,7.3,37.3,"78.254860297","93.611657818",25.8,23.3,46.1
"Harvey, Matt","518774","2018","663","27","131",19.8,5.6,".271",".466",".317",".334",".319",32.3,8,40,"79.755514748","94.483225399",24.7,20.5,49
"Porcello, Rick","519144","2018","808","27","190",23.5,5.9,".241",".399",".299",".303",".311",33.8,7,35.7,"78.511315127","93.854074499",27.8,20.5,47.1
"Sale, Chris","519242","2018","617","11","237",38.4,5.5,".181",".288",".243",".237",".233",31.9,7.5,26.8,"74.146397669","92.528917117",33,34.9,48.2
"Zimmermann, Jordan","519455","2018","556","28","111",20,4.7,".269",".497",".303",".338",".327",38.6,9.6,38.4,"78.618285314","93.904943237",30.1,20.5,48.5
